observation_id,endemic,binomial_name,country,code,class_id,file_path
37594617,False,Erythrolamprus miliaris,Rio de Janeiro,BR,588,2020/Erythrolamprus_miliaris/59627718.jpeg
105603680,False,Lycodon effraenis,Surat Thani,TH,841,2022/Lycodon_effraenis/177223257.jpeg
81123334,True,Agkistrodon contortrix,North Carolina,US,23,2020/Agkistrodon_contortrix/133027311.jpeg
73171813,False,Regina septemvittata,Virginia,US,1257,2021/Regina_septemvittata/119429678.jpg
11884244,False,Ptyas mucosa,Taiwan,TW,1245,2018/Ptyas_mucosa/17010997.jpeg
84146684,False,Ahaetulla oxyrhyncha,Goa,IN,37,2021/Ahaetulla_oxyrhyncha/138272164.jpeg
66506022,False,Xenocalamus transvaalensis,Matabeleland South,ZW,1546,2020/Xenocalamus_transvaalensis/107227141.jpg
85978862,False,Chironius spixii,Antioquia,CO,302,2021/Chironius_spixii/141560708.jpeg
81886929,False,Phyllorhynchus decurtatus,Arizona,US,1134,2021/Phyllorhynchus_decurtatus/134340311.jpg
43141453,False,Nerodia rhombifer,Texas,US,1015,2020/Nerodia_rhombifer/68470302.jpg
72951030,True,Tantilla relicta,Florida,US,1396,2021/Tantilla_relicta/119032505.jpg
80490488,False,Coniophanes piceivittis,Veracruz,MX,327,2021/Coniophanes_piceivittis/131930418.jpeg
22074697,False,Lycodonomorphus inornatus,Mpumalanga,ZA,858,2019/Lycodonomorphus_inornatus/34186627.jpg
6074489,False,Malpolon monspessulanus,Aragon,ES,887,2017/Malpolon_monspessulanus/7600251.jpg
13299246,False,Thamnophis proximus,Texas,US,1438,2018/Thamnophis_proximus/19474939.jpg
29484761,False,Lampropeltis multifasciata,California,US,766,2019/Lampropeltis_multifasciata/46017768.jpeg
78363200,False,Psammophis subtaeniatus,Limpopo,ZA,1191,2021/Psammophis_subtaeniatus/128228068.jpg
10213453,False,Coniophanes fissidens,Colon,PA,323,2010/Coniophanes_fissidens/14111986.jpg
24794258,False,Nerodia erythrogaster,Texas,US,1010,2019/Nerodia_erythrogaster/38345775.jpg
